,name,idx,lat,lon,url
0,Dongcheng Dongsi,446,39.929,116.417,http://aqicn.org/city/beijing/dongchengdongsi/
1,"Temple of Heaven, Dongcheng",447,39.886,116.407,http://aqicn.org/city/beijing/dongchengtiantan/
2,West Park officials,448,39.929,116.339,http://aqicn.org/city/beijing/xichengguanyuan/
3,Wanshou Temple,449,39.878,116.352,http://aqicn.org/city/beijing/xichengwanshouxigong/
4,Chaoyang Olympic Sports Center,450,39.982,116.397,http://aqicn.org/city/beijing/chaoyangaotizhongxin/
5,Chaoyang Agricultural Exhibition Hall,451,39.937,116.461,http://aqicn.org/city/beijing/chaoyangnongzhanguan/
6,Haidian Wanliu,452,39.987,116.287,http://aqicn.org/city/beijing/haidianwanliu/
10,Fengtai Yungang,456,39.824,116.146,http://aqicn.org/city/beijing/fengtaiyungang/
11,Shijingshan city,457,39.914,116.184,http://aqicn.org/city/beijing/shijingshangucheng/
12,"Fangshan, Liangxiang",458,39.742,116.136,http://aqicn.org/city/beijing/fangshanliangxiang/
13,"Huangcunzhen, Daxing",459,39.718,116.404,http://aqicn.org/city/beijing/daxinghuangcunzhen/
14,BDA,460,39.795,116.506,http://aqicn.org/city/beijing/yizhuangkaifaqu/
16,Shunyi New Town ,462,40.127,116.655,http://aqicn.org/city/beijing/shunyixincheng/
17,Changping Town,463,40.217,116.23,http://aqicn.org/city/beijing/changpingzhen/
18,"Mentougou, Longquan Town",464,39.937,116.106,http://aqicn.org/city/beijing/mentougoulongquanzhen/
19,Pinggu town,465,40.143,117.1,http://aqicn.org/city/beijing/pingguzhen/
20,Huairou town,466,40.328,116.628,http://aqicn.org/city/beijing/huairouzhen/
21,The town of Miyun,467,40.37,116.832,http://aqicn.org/city/beijing/miyunzhen/
22,Yanqing town,468,40.453,115.972,http://aqicn.org/city/beijing/yanqingzhen/
23,Changping Dingling,469,40.292,116.22,http://aqicn.org/city/beijing/changpingdingling/
27,"Yongledianzhen, Tongzhou",473,39.712,116.783,http://aqicn.org/city/beijing/jingdongnanyongledian/
